"Name","Code","Year","World Trade","Revealed Comparative Advantage (RCA)","Distance","Product Complexity Index (PCI)","Opportunity Gain","Sector"
"Other live plants","0602 HS92","2021","$11.9B","0.906","0.819","-0.86","0.183","Agriculture"
"Bicycles","8712 HS92","2021","$11.8B","0.0314","0.86","0.0895","0.732","Vehicles"
"Other articles of precious metals","7115 HS92","2021","$11.6B","0.0471","0.912","0.397","0.674","Stone"
"Grapes","0806 HS92","2021","$11.6B","0.745","0.815","-1.21","0.0061","Agriculture"
"Heterocyclic compounds with oxygen hetero-atom(s) only","2932 HS92","2021","$11.3B","0.0113","0.917","0.948","1.05","Chemicals"
"Coke","2704 HS92","2021","$11.2B","0.0011","0.895","-0.331","0.505","Minerals"
"Machinery parts, not containing electrical features, n.e.c.","8485 HS92","2021","$11.2B","0.409","0.89","1.29","1.17","Machinery"
"Woven fabrics of cotton of > 85% weighing < 200 g/m2","5208 HS92","2021","$11.1B","0.142","0.847","-0.885","0.336","Textiles"
"Fuel wood","4401 HS92","2021","$11.1B","0.0107","0.848","-0.3","0.256","Agriculture"
"Electromagnets","8505 HS92","2021","$11.1B","0.0399","0.917","1.2","0.843","Electronics"
"Uranium","2844 HS92","2021","$11.0B","0.001","0.91","-0.547","0.463","Chemicals"
"Copper plates, sheets and strip > 0.15 mm","7409 HS92","2021","$11.0B","0.0005","0.896","0.718","0.863","Metals"
"Amine-function compounds","2921 HS92","2021","$11.0B","0.0008","0.919","1.26","1.34","Chemicals"
"Reception apparatus for radio broadcasting","8527 HS92","2021","$10.9B","0.0939","0.89","0.551","0.668","Electronics"
"Tools for hand working, pneumatic, hydraulic motors","8467 HS92","2021","$10.9B","0.047","0.908","1.23","0.886","Machinery"
"Ethyl alcohol > 80%","2207 HS92","2021","$10.9B","0","0.842","-0.759","0.226","Agriculture"
"Other moving, excavating or boring machinery","8430 HS92","2021","$10.8B","0.188","0.872","-0.629","0.392","Machinery"
"Other manufactured tobacco","2403 HS92","2021","$10.7B","0.118","0.823","-0.779","0.149","Agriculture"
"Lubricants","3403 HS92","2021","$10.7B","0.0418","0.925","1.79","1.39","Chemicals"
"Machinery for soil preparation or cultivation","8432 HS92","2021","$10.6B","0.037","0.871","0.653","0.791","Machinery"
"Apples & pears","0808 HS92","2021","$10.6B","0.033","0.827","-0.555","0.347","Agriculture"
"Barley","1003 HS92","2021","$10.6B","0.0005","0.873","-0.158","0.349","Agriculture"
"Cut flowers","0603 HS92","2021","$10.5B","0.38","0.849","-1.58","-0.0628","Agriculture"
"Cashew nuts & coconuts","0801 HS92","2021","$10.5B","0.0003","0.797","-2.4","-0.337","Agriculture"
"Glasses","9004 HS92","2021","$10.5B","0.0075","0.9","0.773","0.665","Machinery"
"Other printed matter","4911 HS92","2021","$10.4B","0.103","0.872","0.502","0.804","Agriculture"
"Machinery for processing fabrics","8451 HS92","2021","$10.3B","0.0464","0.904","1.29","1.05","Machinery"
"Paper waste","4707 HS92","2021","$10.2B","0.466","0.83","-0.211","0.391","Agriculture"
"Ammonia","2814 HS92","2021","$10.2B","0.0002","0.858","-1.31","-0.0899","Chemicals"
"Glaziers' putty","3214 HS92","2021","$10.1B","0.163","0.853","0.616","0.78","Chemicals"
"Antibiotics","2941 HS92","2021","$10.1B","0.0039","0.894","1.08","0.994","Chemicals"
"Milk","0401 HS92","2021","$10.0B","0.152","0.85","0.0102","0.482","Agriculture"
"Wire of iron or nonalloy steel","7217 HS92","2021","$10.0B","0.0552","0.823","-0.363","0.361","Metals"
"Carboxylic acids with additional oxygen function","2918 HS92","2021","$9.94B","0.0047","0.901","0.756","0.899","Chemicals"
"Surveying instruments","9015 HS92","2021","$9.87B","0.047","0.889","0.3","0.871","Machinery"
"Solid vegetable oil and fat residues","2306 HS92","2021","$9.81B","0.031","0.825","-1.08","-0.0596","Agriculture"
"Machine tools for working wood","8465 HS92","2021","$9.73B","0.0597","0.909","1.09","1.04","Machinery"
"Cocoa beans","1801 HS92","2021","$9.71B","0","0.818","-3.04","-0.309","Agriculture"
"Vitamins","2936 HS92","2021","$9.70B","0.0066","0.924","1.13","1.06","Chemicals"
"Glassware for interior decorative use","7013 HS92","2021","$9.65B","0.166","0.88","0.224","0.781","Stone"
"Copper foil < 0.15 mm thick","7410 HS92","2021","$9.64B","0.0033","0.904","1.09","0.707","Metals"
"Machine tools for molding and forging metals","8462 HS92","2021","$9.56B","0.2","0.912","1.44","1.28","Machinery"
"Other vegetables, frozen","2004 HS92","2021","$9.54B","0.232","0.9","-0.313","0.461","Agriculture"
"Medicaments, not packaged","3003 HS92","2021","$9.47B","0.111","0.867","0.49","0.797","Chemicals"
"Edible offal","0206 HS92","2021","$9.47B","0.0184","0.87","-0.553","0.283","Agriculture"
"Machining centers for working metal","8457 HS92","2021","$9.46B","0.0102","0.936","2.01","1.22","Machinery"
"Butter","0405 HS92","2021","$9.43B","0.0398","0.883","0.0528","0.613","Agriculture"
"Bovine","0102 HS92","2021","$9.39B","0","0.827","-0.806","0.177","Agriculture"
"Copper tubes and pipes","7411 HS92","2021","$9.35B","0.0126","0.891","0.622","0.765","Metals"
"Unmanufactured tobacco","2401 HS92","2021","$9.32B","0.0182","0.777","-1.62","-0.285","Agriculture"
"Sulfonamides","2935 HS92","2021","$9.27B","0","0.922","1.2","0.694","Chemicals"
"Hand tools n.e.c.","8205 HS92","2021","$9.24B","0.106","0.92","0.98","1.1","Metals"
"Wadding, gauze and bandages","3005 HS92","2021","$9.20B","0.217","0.902","1.1","1.12","Chemicals"
"Precious stones","7103 HS92","2021","$9.20B","0.145","0.837","-1.55","-0.0761","Stone"
"Peaches & cherries","0809 HS92","2021","$9.18B","0.743","0.793","-1.17","0.0323","Agriculture"
"Carboxyamide-function compounds","2924 HS92","2021","$9.15B","0.0001","0.92","1.4","0.639","Chemicals"
"Primary cells and primary batteries","8506 HS92","2021","$9.09B","0.0487","0.913","1.18","0.897","Electronics"
"Other organo-inorganic compounds","2931 HS92","2021","$9.08B","0.0011","0.929","1.65","0.847","Chemicals"
"Other articles of wood","4421 HS92","2021","$8.94B","0.0696","0.846","-0.195","0.313","Agriculture"
"Seeds used for sowing","1209 HS92","2021","$8.85B","0.452","0.839","-0.924","0.0437","Agriculture"
"Stoppers, caps and lids of metal","8309 HS92","2021","$8.74B","0.147","0.854","0.144","0.581","Metals"
"Silicones in primary forms","3910 HS92","2021","$8.60B","0.0032","0.934","1.93","1.41","Chemicals"
"Other agricultural machinery","8436 HS92","2021","$8.59B","0.0131","0.89","0.919","0.941","Machinery"
"Lamb","0204 HS92","2021","$8.56B","0.0062","0.843","-1.57","0.0522","Agriculture"
"Articles of stone or of other mineral substances","6815 HS92","2021","$8.55B","0.206","0.889","0.823","1.07","Stone"
"Electrical apparatus for > 1k volts","8535 HS92","2021","$8.54B","0.597","0.873","0.669","0.867","Electronics"
"Carbonates","2836 HS92","2021","$8.52B","0.034","0.83","-0.481","0.272","Chemicals"
"Organo-sulfur compounds","2930 HS92","2021","$8.48B","0.0173","0.922","1.07","0.949","Chemicals"
"Central heating boilers","8403 HS92","2021","$8.41B","0.0005","0.872","0.675","0.97","Machinery"
"Phenols, phenol-alcohols","2907 HS92","2021","$8.41B","0","0.915","1.32","0.929","Chemicals"
"Other machinery for making paper","8441 HS92","2021","$8.38B","0.0221","0.89","0.674","0.992","Machinery"
"Meters","9029 HS92","2021","$8.23B","0.024","0.894","0.85","0.936","Machinery"
"Vehicle Bodies","8707 HS92","2021","$8.14B","0.416","0.896","0.742","1.04","Vehicles"
"Other sugars","1702 HS92","2021","$8.13B","0.013","0.858","-0.106","0.501","Agriculture"
"Gas, liquid or electricity meters","9028 HS92","2021","$8.04B","0.0121","0.864","0.595","0.73","Machinery"
"Thermometers, hydrometers etc.","9025 HS92","2021","$8.03B","0.0497","0.882","0.634","0.931","Machinery"
"Lignite","2702 HS92","2021","$8.01B","0","0.883","-1.2","0.0007","Minerals"
"Glass mirrors","7009 HS92","2021","$7.98B","0.296","0.896","0.679","0.875","Stone"
"Coconut & palm kernel oil","1513 HS92","2021","$7.97B","0.0002","0.846","-2.06","-0.106","Agriculture"
"Soap","3401 HS92","2021","$7.95B","0.859","0.805","-1.02","-0.0378","Chemicals"
"Synthetic staple fibers","5503 HS92","2021","$7.91B","0.177","0.85","0.28","0.468","Textiles"
"Ketones and quinones","2914 HS92","2021","$7.87B","0.0056","0.909","1.55","1.17","Chemicals"
"Springs of iron or steel","7320 HS92","2021","$7.79B","0.0385","0.875","0.983","1.02","Metals"
"Pulleys and winches","8425 HS92","2021","$7.72B","0.12","0.899","0.895","1.06","Machinery"
"Nickel mattes","7501 HS92","2021","$7.71B","0.14","0.903","-1.43","-0.0435","Metals"
"Wire of iron or steel, not insulated","7312 HS92","2021","$7.70B","0.0764","0.865","0.19","0.658","Metals"
"Petroleum resins","3911 HS92","2021","$7.65B","0.0136","0.934","1.48","1.25","Chemicals"
"Lead refined unwrought","7801 HS92","2021","$7.58B","0","0.798","-1.56","-0.113","Metals"
"Machines for assembling electric lamps","8475 HS92","2021","$7.56B","0.0374","0.924","1.62","1.09","Machinery"
"Animal or vegetable fats and oils, processed","1518 HS92","2021","$7.53B","0.469","0.862","0.21","0.578","Agriculture"
"Carpets, tufted","5703 HS92","2021","$7.49B","0.12","0.854","-0.0805","0.511","Textiles"
"Household articles of aluminum","7615 HS92","2021","$7.49B","0.0493","0.863","-0.76","0.36","Metals"
"Other cast articles of iron or steel","7325 HS92","2021","$7.48B","0.237","0.848","0.371","0.824","Metals"
"Navigational instruments","9014 HS92","2021","$7.46B","0.169","0.919","1.22","1.1","Machinery"
"Cloth of iron or steel wire","7314 HS92","2021","$7.46B","0.0753","0.843","0.133","0.676","Metals"
"Pig iron","7201 HS92","2021","$7.39B","0.0001","0.875","-1.04","-0.0636","Metals"
"Unwrought tin","8001 HS92","2021","$7.32B","0.0007","0.893","-0.469","0.131","Metals"
"Machines for working materials by laser and similar means","8456 HS92","2021","$7.30B","0.0214","0.923","1.76","1.29","Machinery"
"Monofilament","3916 HS92","2021","$7.29B","0.394","0.877","0.693","0.772","Chemicals"
"Paints and varnishes, aqueous","3209 HS92","2021","$7.29B","0.347","0.847","0.117","0.594","Chemicals"
"Imitation jewelry","7117 HS92","2021","$7.25B","0.098","0.882","0.239","0.561","Stone"
"Porcelain or china household articles","6911 HS92","2021","$7.25B","0.0649","0.878","-0.072","0.0021","Stone"
"Frozen vegetables","0710 HS92","2021","$7.22B","0.401","0.804","-0.752","0.138","Agriculture"
"Chemical preparations for photographic uses","3707 HS92","2021","$7.21B","0.0036","0.939","1.72","0.714","Chemicals"
"Cereal foods","1904 HS92","2021","$7.21B","0.0766","0.824","-0.44","0.264","Agriculture"
"Copper bars, rods and profiles","7407 HS92","2021","$7.19B","0.0204","0.861","0.37","0.686","Metals"
"Ceramic wares for technical ware","6909 HS92","2021","$7.08B","0.0041","0.913","1.16","1.01","Stone"
"Tanks etc. < 300 liters, iron or steel","7310 HS92","2021","$7.04B","0.284","0.834","-0.0137","0.612","Metals"
"Metal base oxides, n.e.c.","2825 HS92","2021","$7.03B","0.0024","0.9","-0.418","0.43","Chemicals"
"Other bars and rods of stainless steel","7222 HS92","2021","$7.02B","0.0042","0.908","1.55","1.18","Metals"
"Enzymes","3507 HS92","2021","$7.02B","0.0112","0.913","1.21","1.09","Chemicals"
"Nitrile-function compounds","2926 HS92","2021","$7.01B","0","0.924","0.894","0.944","Chemicals"
"Tents, tarpaulins, etc.","6306 HS92","2021","$6.96B","0.102","0.827","-0.9","0.244","Textiles"
"Waste and scrap of batteries","8548 HS92","2021","$6.93B","0.278","0.892","0.707","0.776","Electronics"
"Munitions of war","9306 HS92","2021","$6.90B","0.0027","0.874","0.555","0.561","Machinery"
"Float glass","7005 HS92","2021","$6.83B","0.0009","0.84","-0.28","0.366","Stone"
"Carbon articles for eletrical purposes","8545 HS92","2021","$6.79B","0.0199","0.9","0.811","0.932","Electronics"
"Isocyanates","2929 HS92","2021","$6.74B","0.298","0.928","1.07","1.03","Chemicals"
"Flat-rolled iron, width < 600mm, clad","7212 HS92","2021","$6.70B","0.635","0.877","0.839","0.996","Metals"
"Pile fabrics, knit","6001 HS92","2021","$6.65B","0.0276","0.876","-0.408","0.0016","Textiles"
"Hats, knit","6505 HS92","2021","$6.65B","0.386","0.817","-1.02","0.257","Textiles"
"Frames for spectacles, goggles","9003 HS92","2021","$6.58B","0.0011","0.898","0.419","0.754","Machinery"
"Newsprint","4801 HS92","2021","$6.58B","0.0036","0.926","0.827","0.904","Agriculture"
"Aluminum ore","2606 HS92","2021","$6.56B","0.0009","0.875","-2.54","-0.153","Minerals"
"Lathes for removing metal","8458 HS92","2021","$6.35B","0.0909","0.919","1.73","1.23","Machinery"
"Cellulose n.e.c.","3912 HS92","2021","$6.35B","0.0255","0.914","1.14","1.02","Chemicals"
"Pens","9608 HS92","2021","$6.34B","0.0122","0.888","0.608","0.887","Machinery"
"Starch residues","2303 HS92","2021","$6.34B","0","0.88","-0.0126","0.442","Agriculture"
"Flat-rolled products of stainless steel of a width < 600 mm","7220 HS92","2021","$6.32B","0.0057","0.916","1.69","1.34","Metals"
"Articles for utensils, of cermet","8209 HS92","2021","$6.31B","0.0027","0.939","1.83","1.34","Metals"
"Copper tube or pipe fittings","7412 HS92","2021","$6.31B","0.0074","0.904","1.04","1.07","Metals"
"Polymers of vinyl acetate","3905 HS92","2021","$6.26B","0.295","0.892","1.38","1.1","Chemicals"
"Dental hygiene products","3306 HS92","2021","$6.25B","0.0565","0.869","0.278","0.64","Chemicals"
"Wood shaped along its edges","4409 HS92","2021","$6.24B","0.0112","0.835","-0.879","0.0907","Agriculture"
"Salts of oxometallic acids","2841 HS92","2021","$6.24B","0.0232","0.911","-0.261","0.33","Chemicals"
"Bituminous mixtures","2715 HS92","2021","$6.22B","0.0061","0.865","-1.49","-0.0199","Minerals"
"Compounded rubber","4005 HS92","2021","$6.17B","0.0132","0.889","1.16","1.11","Chemicals"
"Conveyor belts of vulcanized rubber","4010 HS92","2021","$6.15B","0.0125","0.88","0.97","1.03","Chemicals"
"Curtains","6303 HS92","2021","$6.10B","0.0372","0.849","-0.272","0.478","Textiles"
"Sausages","1601 HS92","2021","$6.04B","0.0433","0.847","0.231","0.609","Agriculture"
"Sewing machines","8452 HS92","2021","$6.01B","0.0695","0.884","0.495","0.675","Machinery"
"Cash registers, calculators, etc.","8470 HS92","2021","$5.99B","0.0753","0.871","0.667","0.454","Machinery"
"Flat-rolled iron, width < 600mm, not clad","7211 HS92","2021","$5.98B","0.164","0.883","0.862","0.883","Metals"
"Ferrous products from the reduction of iron ore","7203 HS92","2021","$5.98B","0","0.88","-1.32","0.0108","Metals"
"Industrial electric furnaces","8514 HS92","2021","$5.95B","0.192","0.904","0.89","1.23","Electronics"
"Heparin for therapeutic use","3001 HS92","2021","$5.93B","0.0009","0.913","0.844","0.822","Chemicals"
"Bars of other alloy steel","7227 HS92","2021","$5.92B","0.252","0.888","0.472","0.993","Metals"
"Self-propelled railway coaches","8603 HS92","2021","$5.84B","0","0.91","1.52","0.977","Vehicles"
"Artificial flowers","6702 HS92","2021","$5.83B","0.001","0.906","0.527","0.0016","Textiles"
"Chain of iron or steel","7315 HS92","2021","$5.82B","0.017","0.917","1.47","1.27","Metals"
"Stabilizers for rubber or plastic","3812 HS92","2021","$5.78B","0.088","0.906","0.918","0.983","Chemicals"
"Textile articles for technical use","5911 HS92","2021","$5.77B","0.387","0.896","1.08","1.13","Textiles"
"Yarn of synthetic staple fibers, not for retail sale","5509 HS92","2021","$5.71B","0.387","0.817","-0.451","0.277","Textiles"
"Starches","1108 HS92","2021","$5.70B","0.0612","0.842","-0.608","0.278","Agriculture"
"Chemical woodpulp, dissolving grade","4702 HS92","2021","$5.67B","0","0.902","0.25","0.476","Agriculture"
"Sulfates","2833 HS92","2021","$5.66B","0.124","0.853","-0.137","0.414","Chemicals"
"Sulphur, crude","2503 HS92","2021","$5.66B","0.0057","0.844","-1.47","-0.109","Minerals"
"Other oil seeds","1207 HS92","2021","$5.65B","0.0962","0.794","-2.26","-0.301","Agriculture"
"Prepared pigments","3207 HS92","2021","$5.64B","0.0041","0.879","0.772","0.629","Chemicals"
"Grindstones","6804 HS92","2021","$5.59B","0.545","0.899","1.25","1.27","Stone"
"Baths, sinks etc.","3922 HS92","2021","$5.57B","0.0709","0.853","0.471","0.815","Chemicals"
"Cocoa butter","1804 HS92","2021","$5.52B","0","0.891","-1.42","0.171","Agriculture"
"Carbon","2803 HS92","2021","$5.52B","0.0004","0.884","0.3","0.623","Chemicals"
"Stainless steel in ingots","7218 HS92","2021","$5.51B","0","0.933","1.23","0.431","Metals"
"Sodium hydroxide","2815 HS92","2021","$5.51B","0.0092","0.88","0.316","0.63","Chemicals"
"Whey","0404 HS92","2021","$5.49B","0.0192","0.873","0.505","0.76","Agriculture"
"Blankets","6301 HS92","2021","$5.49B","0.659","0.857","-1.04","0.0012","Textiles"
"Molybdenum ore","2613 HS92","2021","$5.47B","0","0.877","-0.649","0.214","Minerals"
"Paper labels","4821 HS92","2021","$5.45B","0.121","0.843","0.127","0.493","Agriculture"
"Electric shavers and hair clippers","8510 HS92","2021","$5.45B","0.001","0.915","0.977","0.825","Electronics"
"Gloves, knit","6116 HS92","2021","$5.40B","0.245","0.829","-0.83","0.131","Textiles"
"Wigs","6704 HS92","2021","$5.38B","0.04","0.849","-2.16","0.0002","Textiles"
"Handsaws","8202 HS92","2021","$5.38B","0.0087","0.93","1.58","1.29","Metals"
"Natural or artificial abrasive powder","6805 HS92","2021","$5.34B","0.396","0.898","1.15","1.14","Stone"
"Mineral wools and insulating materials","6806 HS92","2021","$5.28B","0.0383","0.882","0.786","0.832","Stone"
"Auxiliary machinery for use with knitting and textile machines","8448 HS92","2021","$5.27B","0.106","0.911","1.37","1.2","Machinery"
"Packing boxes","4415 HS92","2021","$5.26B","0.186","0.847","0.414","0.583","Agriculture"
"Vegetable fats, hydrogenated","1516 HS92","2021","$5.25B","0.0306","0.789","-1.41","-0.0981","Agriculture"
"Machinery for making paper","8439 HS92","2021","$5.23B","0.0122","0.926","1.62","1.21","Machinery"
"Nickel ore","2604 HS92","2021","$5.22B","0","0.87","-1.66","-0.128","Minerals"
"Weighing machinery","8423 HS92","2021","$5.17B","0.0401","0.92","0.718","0.962","Machinery"
"Tanks and other armored fighting vehicles","8710 HS92","2021","$5.06B","0","0.889","0.0166","0.527","Vehicles"
"Wheat or meslin flour","1101 HS92","2021","$5.05B","0.0582","0.799","-1.38","-0.0939","Agriculture"
"Other vessels","8906 HS92","2021","$5.04B","0","0.845","-0.426","0.358","Vehicles"
"Ice cream","2105 HS92","2021","$5.00B","0.0081","0.838","-0.121","0.493","Agriculture"
"Finishing agents","3809 HS92","2021","$4.99B","0.0189","0.851","0.513","0.691","Chemicals"
"Medical, dental or veterinary furniture","9402 HS92","2021","$4.98B","0.0369","0.886","1.02","1.09","Textiles"
"Other tubes and pipes, diameter > 406.4 mm, of iron or steel","7305 HS92","2021","$4.96B","0.0225","0.902","0.72","0.86","Metals"
"Other headgear","6506 HS92","2021","$4.90B","0.0646","0.875","0.417","0.87","Textiles"
"Pepper","0904 HS92","2021","$4.84B","0.726","0.759","-1.83","-0.398","Agriculture"
"Preserved meat","0210 HS92","2021","$4.83B","0.0153","0.885","0.252","0.553","Agriculture"
"Aluminum wire","7605 HS92","2021","$4.81B","0.136","0.867","-0.647","0.216","Metals"
"Fermented milk products","0403 HS92","2021","$4.80B","0.139","0.831","-0.229","0.356","Agriculture"
"Other office machines","8472 HS92","2021","$4.74B","0.0403","0.914","0.885","1.02","Machinery"
"Sunflower seeds","1206 HS92","2021","$4.71B","0","0.863","-0.0641","0.443","Agriculture"
"Fishing and hunting equipment","9507 HS92","2021","$4.69B","0.0021","0.846","-0.475","0.272","Machinery"
"Candles","3406 HS92","2021","$4.66B","0.0588","0.879","0.388","0.787","Chemicals"
"Vulcanized rubber plates","4008 HS92","2021","$4.62B","0.0542","0.877","0.856","0.965","Chemicals"
"Photographic plates","3701 HS92","2021","$4.58B","0.0103","0.943","1.61","1.01","Chemicals"
"Sheets for veneering for plywood","4408 HS92","2021","$4.56B","0.0049","0.842","-0.828","0.254","Agriculture"
"Worked glass","7006 HS92","2021","$4.54B","0.0012","0.923","1.25","0.704","Stone"
"Petroleum jelly","2712 HS92","2021","$4.53B","0.0074","0.863","0.113","0.461","Minerals"
"Synthetic precious stones","7104 HS92","2021","$4.49B","0.0177","0.901","-0.273","0.59","Stone"
"Gaskets and similar joints of metal sheeting","8484 HS92","2021","$4.48B","0.0525","0.901","1.04","1.18","Machinery"
"Razors","8212 HS92","2021","$4.47B","0.0002","0.848","-0.191","0.379","Metals"
"Other articles of copper","7419 HS92","2021","$4.47B","1","0.897","0.84","1.12","Metals"
"Metal-rolling mills","8455 HS92","2021","$4.45B","0.0122","0.907","0.832","1.11","Machinery"
"Epoxides","2910 HS92","2021","$4.45B","0.0002","0.939","1.82","1.18","Chemicals"
"Other articles of glass","7020 HS92","2021","$4.45B","0.0201","0.9","0.876","1","Stone"
"Sanitary ware and parts of iron or steel","7324 HS92","2021","$4.44B","0.0494","0.882","0.449","0.968","Metals"
"Other alloy steel in primary form","7224 HS92","2021","$4.44B","0","0.882","0.369","0.646","Metals"
"Industrial furnaces","8417 HS92","2021","$4.40B","0.0336","0.887","0.787","1.07","Machinery"
"Narrow woven fabrics","5806 HS92","2021","$4.36B","0.54","0.83","-0.0368","0.354","Textiles"
"Horses","0101 HS92","2021","$4.34B","0.0834","0.907","0.102","0.729","Agriculture"
"Railway cars, not self-propelled","8606 HS92","2021","$4.32B","0","0.869","-0.0826","0.393","Vehicles"
"Dextrins and other modified starches","3505 HS92","2021","$4.31B","0.0332","0.897","0.445","0.913","Chemicals"
"Containers for compressed or liquified gas","7311 HS92","2021","$4.29B","0.952","0.853","-0.258","0.637","Metals"
"Peptones","3504 HS92","2021","$4.23B","0","0.905","0.561","0.817","Chemicals"
"Notebooks","4820 HS92","2021","$4.19B","0.219","0.806","-0.562","0.111","Agriculture"
"Clasps, buckles etc. of metal","8308 HS92","2021","$4.18B","0.186","0.87","0.851","0.895","Metals"
"Waters","2201 HS92","2021","$4.17B","0.0593","0.849","-0.402","0.47","Agriculture"
"Peanuts","1202 HS92","2021","$4.16B","0","0.804","-2.18","-0.268","Agriculture"
"Flat-rolled products of other alloy steel, width < 600 mm","7226 HS92","2021","$4.14B","0.0784","0.926","1.5","1.14","Metals"
"Woven fabrics of artificial staple fibers","5516 HS92","2021","$4.13B","0.515","0.88","-0.0054","0.0024","Textiles"
"Radiators for central heating of iron or steel","7322 HS92","2021","$4.12B","0.0088","0.881","0.772","0.753","Metals"
"Bricks, tiles and similar refractory ceramic constructional goods","6902 HS92","2021","$4.12B","0.0915","0.889","0.601","0.914","Stone"
"Tanks etc. > 300 liters, iron or steel","7309 HS92","2021","$4.08B","0.388","0.85","0.253","0.625","Metals"
"Steam turbines","8406 HS92","2021","$4.05B","0","0.917","1.29","1.3","Machinery"
"Cocoa paste","1803 HS92","2021","$4.01B","0","0.899","-0.706","0.384","Agriculture"
"Tissue","4803 HS92","2021","$3.99B","0.413","0.815","-0.392","0.148","Agriculture"
"Malt","1107 HS92","2021","$3.95B","0","0.89","-0.0638","0.466","Agriculture"
"Vacuum vessels","9617 HS92","2021","$3.94B","0.0067","0.913","0.476","0.0019","Machinery"
"Salt","2501 HS92","2021","$3.94B","0.66","0.803","-1.06","0.0023","Minerals"
"Nails and similar articles of iron or steel","7317 HS92","2021","$3.92B","0.0731","0.851","-0.397","0.303","Metals"
"Prepared culture media for micro-organisms","3821 HS92","2021","$3.92B","0.0295","0.921","1.12","1.27","Chemicals"
"Woven fabrics of cotton of < 85% weighing > 200 g/m2","5211 HS92","2021","$3.90B","0.157","0.847","-0.397","0.357","Textiles"
"Sculptures","9703 HS92","2021","$3.88B","0.139","0.877","-0.476","0.431","Textiles"
"Swine","0103 HS92","2021","$3.87B","0","0.879","0.538","0.636","Agriculture"
"Machines with grinding stones for finishing metal","8460 HS92","2021","$3.85B","0.0087","0.915","1.59","1.25","Machinery"
"Unused stamps","4907 HS92","2021","$3.85B","0.372","0.828","-0.828","0.001","Agriculture"
"Knives and blades for machines","8208 HS92","2021","$3.83B","0.0285","0.923","1.71","1.45","Metals"
"Glass, cast or rolled","7003 HS92","2021","$3.78B","0.001","0.909","0.837","0.78","Stone"
"Jams, jellies and marmalades","2007 HS92","2021","$3.76B","0.187","0.811","-0.709","0.128","Agriculture"
"Cobalt oxides and hydroxides","2822 HS92","2021","$3.75B","0","0.915","-1.18","0.0012","Chemicals"
"Nuclear reactors and related equipment","8401 HS92","2021","$3.74B","0.0005","0.922","1.42","0.983","Machinery"
"Wrenches","8204 HS92","2021","$3.74B","0.0348","0.915","1.07","1.06","Metals"
"Portable electric lamps","8513 HS92","2021","$3.71B","0.0061","0.903","0.203","0.0019","Electronics"
"Knife sets","8211 HS92","2021","$3.69B","0.0071","0.907","0.819","0.9","Metals"
"Vegetables, dried","0712 HS92","2021","$3.68B","0.529","0.788","-1.22","0.059","Agriculture"
"Artificial and prepared waxes","3404 HS92","2021","$3.67B","0.0044","0.898","0.726","0.941","Chemicals"
"Steam boilers","8402 HS92","2021","$3.65B","0.219","0.861","0.0644","0.676","Machinery"
"Animal products n.e.c.","0511 HS92","2021","$3.64B","0.642","0.837","-0.788","0.27","Agriculture"
"Tugs and pusher craft","8904 HS92","2021","$3.61B","0.0297","0.836","-1.14","-0.0234","Vehicles"
"Machines for preparing textile fibers","8445 HS92","2021","$3.59B","0.0253","0.921","1.31","1.22","Machinery"
"Other woven fabrics of synthetic staple fibers","5515 HS92","2021","$3.55B","0.698","0.845","0.0219","0.458","Textiles"
"Tubers","0714 HS92","2021","$3.54B","0.0789","0.771","-2.16","-0.298","Agriculture"
"Soups and broths","2104 HS92","2021","$3.53B","0.719","0.824","-0.606","0.239","Agriculture"
"Photographic cameras","9006 HS92","2021","$3.52B","0.0053","0.897","0.226","0.68","Machinery"
"Other salts of acids","2842 HS92","2021","$3.51B","0.0237","0.932","1.46","1.05","Chemicals"
"Gravel","2517 HS92","2021","$3.51B","0.0577","0.831","-0.284","0.308","Minerals"
"Railway construction material of iron or steel","7302 HS92","2021","$3.51B","0.0283","0.9","0.728","0.917","Metals"
"Forage products","1214 HS92","2021","$3.45B","0.0017","0.868","-0.958","0.221","Agriculture"
"Other parts for machines and appliances","9033 HS92","2021","$3.43B","0.186","0.897","1.25","1.07","Machinery"
"Microscopes, other than optical","9012 HS92","2021","$3.43B","0.0002","0.944","2.09","1.25","Machinery"
"Plastic waste","3915 HS92","2021","$3.40B","0.444","0.822","-0.638","0.298","Chemicals"
"Tire cord fabric","5902 HS92","2021","$3.39B","0","0.878","0.665","0.616","Textiles"
"Wire etc. used for welding","8311 HS92","2021","$3.39B","0.0613","0.868","0.689","0.753","Metals"
"Artificial staple fibers, not processed for spinning","5504 HS92","2021","$3.37B","0.0031","0.901","0.471","0.598","Textiles"
"Wire of other alloy steel","7229 HS92","2021","$3.36B","0.0027","0.897","1","0.997","Metals"
"Ceramic household articles","6912 HS92","2021","$3.35B","0.313","0.877","0.34","0.678","Stone"
"Woven fabrics of > 85% synthetic staple fibers","5512 HS92","2021","$3.33B","0.927","0.878","0.179","0.696","Textiles"
"Other bars and rods of iron or nonalloy steel","7215 HS92","2021","$3.33B","0.0368","0.853","-0.0597","0.525","Metals"
"Other clothing accesories, knit","6117 HS92","2021","$3.30B","0.418","0.804","-1.06","0.168","Textiles"
"Natural polymers","3913 HS92","2021","$3.29B","0.0003","0.905","0.897","1.07","Chemicals"
