"Name","Code","Year","World Trade","Revealed Comparative Advantage (RCA)","Distance","Product Complexity Index (PCI)","Opportunity Gain","Sector"
"Parts for use with hoists and excavation machinery","8431 HS92","2021","$60.6B","0.0911","0.884","1.08","1.07","Machinery"
"Sound storage media","8523 HS92","2021","$60.6B","0.0655","0.934","1.6","0.899","Electronics"
"Refrigerators, freezers","8418 HS92","2021","$60.3B","0.0508","0.856","0.658","0.713","Machinery"
"Wheat and meslin","1001 HS92","2021","$57.5B","0.0008","0.864","-0.175","0.301","Agriculture"
"Structures and their parts, of iron or steel","7308 HS92","2021","$57.5B","0.448","0.836","0.569","0.623","Metals"
"Measuring instruments","9031 HS92","2021","$56.6B","0.063","0.92","1.63","1.23","Machinery"
"Ferrous waste and scrap","7204 HS92","2021","$55.7B","0.219","0.842","-0.623","0.334","Metals"
"Air conditioners","8415 HS92","2021","$55.4B","0.524","0.887","0.705","0.619","Machinery"
"Food preparations n.e.c.","2106 HS92","2021","$54.8B","0.413","0.844","0.168","0.441","Agriculture"
"Printers and copiers","8443 HS92","2021","$54.8B","0.23","0.919","1.05","1.09","Machinery"
"Polymers of propylene","3902 HS92","2021","$54.6B","0.0403","0.883","0.386","0.616","Chemicals"
"Instruments for physical or chemical analysis","9027 HS92","2021","$54.6B","0.0896","0.929","1.77","1.34","Machinery"
"Wood sawn lengthwise","4407 HS92","2021","$54.5B","0.0024","0.84","-1.31","0.012","Agriculture"
"Electronic printed circuits","8534 HS92","2021","$54.4B","0.126","0.895","0.967","0.7","Electronics"
"Self-propelled bulldozers, excavators and road rollers","8429 HS92","2021","$53.2B","0.0389","0.913","0.534","0.919","Machinery"
"Microphones","8518 HS92","2021","$51.9B","0.205","0.893","0.717","0.673","Electronics"
"Corn","1005 HS92","2021","$51.5B","0.0016","0.853","-0.937","0.136","Agriculture"
"Diagnostic or laboratory reagents","3822 HS92","2021","$50.3B","0.0065","0.927","1.42","1.12","Chemicals"
"Palm oil","1511 HS92","2021","$49.7B","0.0236","0.817","-2.33","-0.243","Agriculture"
"Screws and similar articles of iron or steel","7318 HS92","2021","$46.1B","0.189","0.909","1.62","1.44","Metals"
"Cyclic hydrocarbons","2902 HS92","2021","$45.8B","0.0006","0.92","0.783","0.782","Chemicals"
"Video recording apparatus","8521 HS92","2021","$45.2B","0.301","0.892","0.745","0.867","Electronics"
"Equipment for temperature change of materials","8419 HS92","2021","$44.8B","0.0295","0.889","1.32","1.26","Machinery"
"Compression-ignition internal combustion piston engines","8408 HS92","2021","$44.4B","0.0729","0.913","1.44","1.23","Machinery"
"Spark-ignition reciprocating internal combustion piston engines","8407 HS92","2021","$44.4B","0.208","0.908","1.29","1.21","Machinery"
"Sports equipment","9506 HS92","2021","$43.7B","0.0577","0.878","0.447","0.564","Machinery"
"Semifinished products of iron or nonalloy steel","7207 HS92","2021","$43.1B","0.0008","0.83","-0.652","0.0778","Metals"
"Textile footwear","6404 HS92","2021","$43.0B","0.216","0.844","-0.464","0.342","Textiles"
"Ferroalloys","7202 HS92","2021","$42.8B","0.0024","0.815","-1.4","-0.203","Metals"
"Bakery products","1905 HS92","2021","$42.5B","0.18","0.821","-0.224","0.339","Agriculture"
"Insecticides, rodenticides, fungicides, etc.","3808 HS92","2021","$42.4B","0.0452","0.864","0.0996","0.578","Chemicals"
"Cleaning products","3402 HS92","2021","$42.0B","0.106","0.848","0.204","0.6","Chemicals"
"Base metal mountings, fittings and similar articles","8302 HS92","2021","$41.8B","0.354","0.89","0.951","0.981","Metals"
"Flat-rolled products of stainless steel of a width > 600 mm","7219 HS92","2021","$40.0B","0.0006","0.902","1.14","0.94","Metals"
"Animal feed","2309 HS92","2021","$40.0B","0.149","0.839","-0.556","0.447","Agriculture"
"Wine","2204 HS92","2021","$39.6B","0.0492","0.842","-0.542","0.195","Agriculture"
"Electrical capacitors","8532 HS92","2021","$39.3B","0.116","0.921","1.21","0.857","Electronics"
"Acyclic alcohols","2905 HS92","2021","$38.9B","0.0003","0.878","-0.521","0.226","Chemicals"
"Aluminum plates > 0.2 mm","7606 HS92","2021","$38.6B","0.0234","0.867","0.456","0.796","Metals"
"Games","9504 HS92","2021","$38.2B","0.0034","0.892","0.939","0.772","Machinery"
"Motorcycles","8711 HS92","2021","$38.1B","0.015","0.895","0.718","0.987","Vehicles"
"Flat-rolled products of other alloy steel, width > 600 mm","7225 HS92","2021","$37.1B","0.0079","0.927","1.47","1.26","Metals"
"Pork","0203 HS92","2021","$36.2B","0.0015","0.898","0.725","0.886","Agriculture"
"Electromechanical domestic appliances","8509 HS92","2021","$36.1B","0.0041","0.896","0.647","0.813","Electronics"
"Spirits < 80% alcohol","2208 HS92","2021","$36.0B","0.0045","0.836","-0.541","0.268","Agriculture"
"Cheese","0406 HS92","2021","$35.5B","0.275","0.847","-0.008","0.487","Agriculture"
